i,j,weight,stability
Mistral-Medium-3,Mistral-Medium-3.5,0.05817834288066122,0.048
Mistral-Small-3,Phi-4-reasoning-vision-15B,0.07339382502236055,0.048
Mistral-Medium-3,Phi-3,0.052258521248171694,0.048
DeepSeek-V3,Gemma-3,0.05921060514692332,0.048
Llama-3.1,Phi-4-reasoning-vision-15B,0.07101105257648738,0.046
Llama-3.3,Ministral-3,0.06197577099178394,0.046
Qwen2.5,Qwen3.5,0.05686881662991134,0.046
Gemma-2,Mistral-Medium-3.5,0.060688919262589645,0.046
DeepSeek-V4,Qwen2,0.0588157979589906,0.046
Phi-4-reasoning-vision-15B,Qwen2.5,0.05814408662691099,0.044
Gemma-2,Llama-1,0.0551016286784155,0.044
Gemma-4-12B,Mistral-Small-3.1,0.0613525607667751,0.044
Llama-3.3,Qwen-7B,0.06417879896116091,0.044
Qwen1.5,Qwen3.6,0.05548708712559311,0.044
Mixtral-8x7B,Phi-4-reasoning-vision-15B,0.0689911039362558,0.044
DeepSeek-V3.1,Qwen3.6,0.05878780641283973,0.044
DeepSeek-V4,Llama-2,0.057630014072160056,0.044
Gemma-3n,Phi-3.5,0.06016203538301945,0.044
Ministral-3,Phi-2,0.06553326447752836,0.044
Gemma-3n,Llama-3.2,0.05780611389560312,0.044
