rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,llf
92,A,1.5667889352803839,0.31178814240914005,0.19060742226623467,0.757201175300648,0.15068165377026865,0.09211717092908345,0.41488979149298816,0.9279889858767068,0.03487753875586317,0.41851825548594085,0.02692731442477432,0.2328380579663764,1,0,-7.936563304277508
93,A,0.005129847733355276,0.21547281050733177,0.3913290436797316,0.008383039671349481,0.352119051572448,0.6394979087562025,8.867141489101143e-11,0.999999416526522,1.5707858285729723e-07,0.6422682004229087,3.37682623157806e-07,0.8589182923087336,1,0,-9.897521369258111
94,A,0.5140933797613021,0.34108599004806206,0.25376164252534256,0.4635894732389387,0.30757811845190697,0.22883240830915433,0.15295552655590325,0.7922607594757275,0.08803671903788432,0.6183906643849195,0.07308053649879623,0.46545134220076134,1,0,-10.189961135817569
95,A,0.1230406579051221,0.23114824576879373,0.2042711598635953,0.22032131917497016,0.4139029106300056,0.3657757701950242,0.04842342055492745,0.5958130317597934,0.15404104128944934,0.6830351945823223,0.14203419863083908,0.6090401558146789,1,0,-1.7620329623273214
96,A,0.2215995858469325,0.24856905103410176,0.35358000511491566,0.2690135977766165,0.3017535184420054,0.4292328837813782,0.06318478489466477,0.6472286959479958,0.08880542784615816,0.6033125189030967,0.1654628079135825,0.6838030833714792,1,0,-12.352740560137029
97,A,0.7827060281529065,0.3087272999395029,0.2260357087467855,0.594098234012949,0.23433362857633894,0.1715681374107121,0.2376977101505656,0.8628275973071312,0.05728115073472128,0.5448447073683211,0.05408352469196359,0.3712985751285659,1,0,-8.864337083913325
98,A,0.6783699929681012,0.20690708760531581,0.3897415362179824,0.5320471278099671,0.1622776992276396,0.3056751729623932,0.19430027235313777,0.8280056192761868,0.03476787228341751,0.4434632642780139,0.10345118746486041,0.5676849821896681,1,0,-15.693265596301258
99,A,0.19919734800318725,0.15725352197889236,0.3243280052511216,0.29260212860593254,0.23099060164730445,0.47640726974676295,0.055202651495324155,0.6939476881524046,0.027288780627092682,0.6954015571678118,0.1593286448168524,0.7539072571532965,1,0,-8.894825682019945
0,B,0.022583943798638918,0.47484579177536757,0.3865580862282734,0.025547799688681948,0.5371632731401763,0.43728892717114176,0.00030178127553402977,0.7172554181410804,0.1381435006487521,0.7671338853417,0.11043893434135109,0.68990767741115,1,0,-13.74358013752228
1,B,0.34332315060570473,0.19540382618163515,0.22202037117423,0.4512972033693479,0.25685771590952194,0.2918450807211301,0.14563885366560653,0.7752037621773479,0.06160343097733303,0.5972556418465614,0.08724978629934715,0.5929895988213232,1,0,-4.530901164309295
2,B,0.05497158714828836,0.578763520720404,0.2470945825039079,0.06240887171393462,0.657066317185086,0.28052481110097943,0.005477667237533471,0.4294808654899351,0.31607559591227097,0.8469251051766815,0.10488284062625969,0.5165694078337479,1,0,-8.175293824634178
3,B,0.13129700856486143,0.30732080458828753,0.313860848276819,0.1744860223881326,0.4084113215971765,0.41710265601469093,0.029965699530330438,0.5677660083333288,0.14391864885729858,0.6869913262402658,0.15286874253300997,0.6794389380046708,1,0,-10.286631731460655
4,B,0.12785734238486499,0.8910393867212956,0.24490896168824322,0.10116851294165034,0.7050446071034904,0.19378687995485935,0.01594837561242682,0.43051523189058527,0.3911753684262634,0.8653550773126748,0.07802876203537411,0.37140464216940045,1,0,-11.854510899449103
5,B,0.16727113065868274,0.42207196539913844,0.2991705226747135,0.18825950118501855,0.475031509366423,0.3367089894485585,0.035970460170791876,0.5597082600299567,0.16954642168300815,0.7591030559396124,0.12715731898606075,0.5827187718772272,1,0,-11.463668714100368
