rep,scenario,path,occ,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,bias_pp_family,bias_pp_era,era_boundary,ranking_ok,converged
9,C,glmm,d2,6.153347767887691e-06,6.914400563420783e-13,0.7424663384412719,8.287644102551242e-06,9.312669007781836e-13,0.9999917123549662,-32.99917123558975,-32.999999999906876,1,1,0
10,C,lpm,d2,0.012855020342642595,0.020159476636116294,0.025114005458237377,0.22114831457383172,0.3468088079159882,0.43204287751017995,-10.88516854261683,1.680880791598821,0,0,1
10,C,glmm,d2,6.150549241277548e-06,6.914400047990869e-13,1.416856532513515,4.340963534997783e-06,4.880077745460136e-13,0.999995659035977,-32.9995659036465,-32.9999999999512,1,1,0
11,C,lpm,d2,0.01599439812179207,0.020942815165255653,0.01382271356254926,0.3150989198464351,0.4125856057143221,0.27231547443924276,-1.4901080153564894,8.258560571432211,0,0,1
11,C,glmm,d2,0.40684241452387154,0.5879117150180566,0.18746001681105937,0.3441359721324091,0.4972971409889701,0.15856688687862075,1.413597213240908,16.72971409889701,0,0,1
12,C,lpm,d2,0.013618399878021251,0.012211735101724009,0.018711959420831602,0.30574224363021596,0.2741616725944942,0.42009608377528973,-2.425775636978406,-5.583832740550582,0,1,1
12,C,glmm,d2,6.1528432758382926e-06,6.914399654914568e-13,0.9236691884084147,6.661261810341118e-06,7.485746718689657e-13,0.999993338737441,-32.99933387381897,-32.999999999925144,1,1,0
13,C,lpm,d2,0.010942602077387741,0.024447002271195905,0.01502567725041366,0.21704930985856827,0.48491254032154657,0.2980381498198852,-11.295069014143175,15.491254032154655,0,0,1
13,C,glmm,d2,0.21017231115990131,0.4465851383948741,0.22011130136791723,0.23968502804866257,0.509295305511744,0.2510196664395934,-9.031497195133745,17.929530551174395,0,0,1
14,C,lpm,d2,0.017439538693861733,1.0333287353516674e-08,0.03178206225607696,0.35430653810808616,2.0993395145189196e-07,0.6456932519579623,2.430653810808614,-32.99997900660486,1,1,1
14,C,glmm,d2,0.27816728498177745,0.688105998728389,0.23465773049234787,0.23162636462219788,0.5729771240734673,0.19539651130433483,-9.837363537780213,24.297712407346733,0,0,1
15,C,lpm,d2,0.008362522803513666,0.014443594973683438,0.020318532388372765,0.1939151453149686,0.3349266583782054,0.471158196306826,-13.608485468503142,0.4926658378205384,0,0,1
15,C,glmm,d2,0.12100589623397585,0.15546735763074168,0.310672677566906,0.20609168820931817,0.2647848674547901,0.5291234443358918,-12.390831179068185,-6.521513254520994,0,0,1
