rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,d_collinearity,d_se_inflation,d_profile_flat,d_non_convergence,detected,silent_ci_covers
58,B,0.7423565922535124,0.4338940573334985,0.11845431540974684,0.5733789645700258,0.33512967746639105,0.09149135796358322,8.75651076269633e-27,0.9999999999999943,8.756510762696332e-27,0.999999999999994,5.073371594466531e-15,1.6187742031262733e-06,1,0,1,1,1,0,1,0
59,B,1.2587520781798631,1.1931767327186324,0.17880579322689114,0.4784793100018341,0.4535526810068763,0.06796800899128967,8.756510762696237e-27,0.9999999999999915,8.75651076269624e-27,0.9999999999999909,7.675582790563799e-15,0.0001025647527831372,1,0,1,1,1,0,1,0
60,B,0.02966613371330479,2.061153622438558e-09,0.3090602045828998,0.08758141950816949,6.085011340612097e-09,0.9124185744068192,1.8187684399863146e-17,0.9486463723094917,2.0361123352152132e-14,0.9999999999999797,1.438088747742754e-14,0.9996234751066817,1,0,1,1,1,0,1,1
61,B,0.259188894926468,2.061153622438558e-09,0.3775401641108201,0.4070630834398118,3.2370968255835467e-09,0.5929369133230914,5.303594366151814e-15,0.7940129198175705,5.980784125089367e-14,0.9999999999999664,1.794113839008784e-14,0.9024074353579334,1,0,1,1,1,0,1,1
62,B,0.3819878374090955,0.05564315594407626,0.29854581047398276,0.5188805670366946,0.07558395708042522,0.4055354758828801,8.756510762696045e-27,0.9999999999999859,8.756510762696048e-27,0.9999999999999848,1.284164088802704e-14,7.034196043703207e-07,1,0,1,1,1,0,1,0
63,B,2.061153622438558e-09,0.5694116839929747,0.24641798750543875,2.5264509115554555e-09,0.6979541225910063,0.30204587488254286,4.430843573112355e-14,0.9999999999999618,1.6094704330737665e-14,0.900491225801354,1.1302161472587963e-14,0.6355207336355343,1,0,1,1,1,0,1,1
64,B,0.3232413341558556,0.39308425055405466,0.1936623893802613,0.3552149515811352,0.43196642345418906,0.21281862496467577,8.75651076269621e-27,0.9999999999999907,8.75651076269621e-27,0.9999999999999901,8.272215509609884e-15,2.0612726536993025e-09,1,0,1,1,1,0,1,0
65,B,0.10293838707577699,0.0922823752432934,0.3248970289241765,0.19791360497344557,0.17742591543102032,0.6246604795955342,8.756510762695989e-27,0.999999999999985,8.756510762696009e-27,0.9999999999999836,1.3674525223927479e-14,6.790475203048084e-14,1,0,1,1,1,0,1,0
66,B,0.0142031206760989,0.22404495003224742,0.24993888242535944,0.029093609702037483,0.45893268673832316,0.5119737035596394,8.756510762696117e-27,0.9999999999999885,8.756510762696124e-27,0.9999999999999873,1.0485879805644443e-14,5.3029773960487875e-14,1,0,1,1,1,0,1,0
67,B,0.37920945384512644,0.03536481444257686,0.26357180343041514,0.5591855053946998,0.05214925798062688,0.3886652366246732,8.756510762696105e-27,0.999999999999987,8.756510762696118e-27,0.9999999999999867,1.1367557049605623e-14,0.00045798978247325997,1,0,1,1,1,0,1,0
